,job vacancies,unemployment benefits,forex rate,how to migrate,inflation_rate,unemployment_rate,ESI
2018-01-01,0.4798099762470308,0.20679012345679015,0.3197424892703862,0.2531847133757962,0.02404743837313522,0.05196839611816806,0.32056547044038275
2018-02-01,0.5225653206650831,0.0,0.17381974248927046,0.2022292993630573,0.028554990937182778,0.0,0.2319794045699905
2018-03-01,0.66270783847981,0.26543209876543206,0.0,0.09713375796178345,0.03793096721236777,0.057325299272527275,0.2978687327659293
2018-04-01,0.7980997624703088,0.3858024691358025,0.20171673819742486,0.22292993630573252,0.07800504441988443,0.10211928024461203,0.4401000043824649
2018-05-01,0.7339667458432304,0.5648148148148148,0.027896995708154515,0.20063694267515927,0.07957231255501696,0.11975471122238379,0.4353412558740763
2018-06-01,0.7743467933491686,0.3580246913580246,0.22103004291845496,0.2898089171974523,0.02793617799797976,0.08435313305828229,0.4418792374353394
2018-07-01,0.9263657957244655,0.3549382716049384,0.26394849785407737,0.22770700636942678,0.018125398404844728,0.11872099505014266,0.482722321043522
2018-08-01,0.8693586698337292,0.41975308641975306,0.05579399141630903,0.27229299363057324,0.012885752339747203,0.14163911925722084,0.45235092388542114
2018-09-01,0.7600950118764844,0.611111111111111,0.25107296137339064,0.3121019108280255,0.013508125355479739,0.23161315874311716,0.5239968113365618
2018-10-01,0.793349168646081,0.5493827160493826,0.1952789699570816,0.3359872611464968,0.020040332008403494,0.23625364818615613,0.5090728116293548
2018-11-01,0.66270783847981,0.44753086419753096,0.24248927038626622,0.24203821656050953,0.004941178375662214,0.20476257508065987,0.4299771081925574
2018-12-01,0.5938242280285035,0.5709876543209876,0.36051502145922754,0.2834394904458599,0.017835315241500727,0.22018914114649712,0.4782344670858648
2019-01-01,0.5629453681710215,0.5092592592592594,0.1330472103004292,0.2738853503184714,0.018100114651201316,0.20836583731849512,0.4030479003528644
2019-02-01,0.3254156769596199,0.5987654320987655,0.08369098712446343,0.26114649681528657,0.004189037031237353,0.24022781459855946,0.34622182950546565
2019-03-01,0.2541567695961995,0.3672839506172839,0.07081545064377692,0.3694267515923567,0.0011018078398462583,0.20697011256693787,0.27448065651127174
2019-04-01,0.2589073634204275,0.3858024691358025,0.08369098712446343,0.2945859872611465,0.0,0.4803840103283801,0.269068344643991
